,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Philippe Sandler,"€ 44,231","€ 2,300,000","€ 2,300,000",D,24,Netherlands,Troyes,Ligue 1,2021-2022
2,Patrick Roberts,"€ 23,269","€ 1,210,000","€ 1,210,000",F,24,England,Troyes,Ligue 1,2021-2022
3,Youssouf Koné,"€ 21,923","€ 1,140,000","€ 1,140,000",D,26,Mali,Troyes,Ligue 1,2021-2022
4,Lebo Mothiba,"€ 16,154","€ 840,000","€ 840,000",F,26,South Africa,Troyes,Ligue 1,2021-2022
5,Renaud Ripart,"€ 16,154","€ 840,000","€ 840,000",F,28,France,Troyes,Ligue 1,2021-2022
6,Iké Ugbo,"€ 15,000","€ 780,000","€ 780,000",F,23,Canada,Troyes,Ligue 1,2021-2022
7,Xavier Chavalerin,"€ 15,000","€ 780,000","€ 780,000",M,30,France,Troyes,Ligue 1,2021-2022
8,Yoann Touzghar,"€ 14,615","€ 760,000","€ 760,000",F,35,Tunisia,Troyes,Ligue 1,2021-2022
9,Mama Baldé,"€ 14,615","€ 760,000","€ 760,000",F,26,Guinea-Bissau,Troyes,Ligue 1,2021-2022
10,Abdu Conté,"€ 13,462","€ 700,000","€ 700,000",D,23,Portugal,Troyes,Ligue 1,2021-2022
11,Rominigue Kouamé,"€ 12,692","€ 660,000","€ 660,000",M,25,Mali,Troyes,Ligue 1,2021-2022
12,Tristan Dingomé,"€ 12,692","€ 660,000","€ 660,000",M,30,Cameroon,Troyes,Ligue 1,2021-2022
13,Erik Palmer-Brown,"€ 11,538","€ 600,000","€ 600,000",D,24,United States,Troyes,Ligue 1,2021-2022
14,Luka Ilic,"€ 11,538","€ 600,000","€ 600,000",F,22,Serbia,Troyes,Ligue 1,2021-2022
15,Adil Rami,"€ 9,615","€ 500,000","€ 500,000",D,36,France,Troyes,Ligue 1,2021-2022
16,Jimmy Giraudon,"€ 6,923","€ 360,000","€ 360,000",D,29,France,Troyes,Ligue 1,2021-2022
17,Gauthier Gallon,"€ 6,923","€ 360,000","€ 360,000",K,28,France,Troyes,Ligue 1,2021-2022
18,Yoann Salmier,"€ 5,769","€ 300,000","€ 300,000",D,29,French Guiana,Troyes,Ligue 1,2021-2022
19,Jessy Moulin,"€ 3,846","€ 200,000","€ 200,000",K,36,France,Troyes,Ligue 1,2021-2022
20,Florian Tardieu,"€ 3,269","€ 170,000","€ 170,000",M,29,France,Troyes,Ligue 1,2021-2022
21,Oualid El Hajjam,"€ 3,077","€ 160,000","€ 160,000",D,30,Morocco,Troyes,Ligue 1,2021-2022
22,Issa Kaboré,"€ 2,885","€ 150,000","€ 150,000",D,20,Burkina Faso,Troyes,Ligue 1,2021-2022
23,Hyun-jun Suk,"€ 2,500","€ 130,000","€ 130,000",F,30,South Korea,Troyes,Ligue 1,2021-2022
24,Gabriel Mutombo,"€ 2,308","€ 120,000","€ 120,000",D,25,France,Troyes,Ligue 1,2021-2022
25,Eden Massouema,"€ 1,731","€ 90,000","€ 90,000",M,24,Congo,Troyes,Ligue 1,2021-2022
26,Karim Azamoum,"€ 1,538","€ 80,000","€ 80,000",M,32,France,Troyes,Ligue 1,2021-2022
27,Gerson Rodrigues,"€ 1,346","€ 70,000","€ 70,000",F,26,Luxembourg,Troyes,Ligue 1,2021-2022
28,Tanguy Zoukrou,"€ 1,154","€ 60,000","€ 60,000",D,18,France,Troyes,Ligue 1,2021-2022
29,Brandon Dominguès,€ 962,"€ 50,000","€ 50,000",M,21,France,Troyes,Ligue 1,2021-2022
30,Benrandy Abdallah,€ 769,"€ 40,000","€ 40,000",D,22,France,Troyes,Ligue 1,2021-2022
31,Giulian Biancone,€ 577,"€ 30,000","€ 30,000",D,21,France,Troyes,Ligue 1,2021-2022
32,Sébastien Renot,€ 577,"€ 30,000","€ 30,000",K,32,France,Troyes,Ligue 1,2021-2022
33,Calvin Bombo,€ 385,"€ 20,000","€ 20,000",M,22,Central African Republic,Troyes,Ligue 1,2021-2022
34,Levi Lumeka,€ 385,"€ 20,000","€ 20,000",F,22,England,Troyes,Ligue 1,2021-2022
35,Metinho,€ 385,"€ 20,000","€ 20,000",M,18,Brazil,Troyes,Ligue 1,2021-2022
36,Nassim Chadli,€ 385,"€ 20,000","€ 20,000",F,20,Morocco,Troyes,Ligue 1,2021-2022
37,Ryan Bouallak,€ 385,"€ 20,000","€ 20,000",K,22,France,Troyes,Ligue 1,2021-2022
38,Yasser Larouci,€ 385,"€ 20,000","€ 20,000",D,21,Algeria,Troyes,Ligue 1,2021-2022
39,Dylan Chambost,€ 385,"€ 20,000","€ 20,000",F,24,France,Troyes,Ligue 1,2021-2022
